Country	Category	Document Name	Status	Embassy / University Requirement Note
USA	University Application	Valid Passport	Required	Minimum 6 months validity beyond intended stay with blank pages.
USA	University Application	Academic Transcripts & Marksheets	Required	Semester-wise official stamped marksheets and degree certificate.
USA	University Application	Statement of Purpose (SOP)	Usually Required	Tailored academic essay detailing course choice, background, and career goals.
USA	University Application	Letters of Recommendation (2-3)	Program Specific	From academic professors or professional managers on official letterhead.
USA	University Application	English Test Score (IELTS / TOEFL)	Usually Required	IELTS 6.5+ or TOEFL iBT 80–100 depending on university.
USA	University Application	Resume / Curriculum Vitae	Program Specific	Clean 1–2 page resume detailing academics, projects, and work experience.
USA	Financial & Visa	I-20 Form (Certificate of Eligibility)	Country Specific	Official certificate issued by the SEVP-certified institution.
USA	Financial & Visa	SEVIS I-901 Fee Payment Receipt	Required	$350 fee receipt generated from FMJfee.com prior to visa interview.
USA	Financial & Visa	Bank Statements & Financial Solvency Proof	Required	Demonstrating liquid funds covering at least first-year total costs on I-20.
USA	Financial & Visa	DS-160 Visa Application Confirmation	Required	Form confirmation barcode page from CEAC portal with photo uploaded.
USA	Financial & Visa	Visa Interview Appointment Letter	Required	Official appointment confirmation letter for consular and VAC biometric dates.
UK	University Application	Valid Passport	Required	Current valid passport with at least one blank page for vignette sticker.
UK	University Application	Academic Transcripts & Degree Certificate	Required	Official degree certificate and consolidated marksheets (UK 2:1 or 2:2 equivalent).
UK	University Application	Statement of Purpose (Personal Statement)	Required	500–1000 word personal statement addressing course motivation and university suitability.
UK	University Application	Academic Reference Letters (LORs)	Usually Required	1–2 references from college lecturers or employers.
UK	University Application	English Language Certificate	Usually Required	IELTS Academic / UKVI (6.5+ overall) or university English waiver letter.
UK	University Application	Updated CV / Resume	Usually Required	Detailed academic and employment history.
UK	Financial & Visa	Confirmation of Acceptance for Studies (CAS)	Country Specific	Electronic reference number issued by the licensed UK sponsor university.
UK	Financial & Visa	28-Day Bank Statement & Solvency Proof	Required	Funds held continuously for 28 consecutive days (£1,334/mo London, £1,023 outside).
UK	Financial & Visa	Tuberculosis (TB) Screening Certificate	Country Specific	Mandatory from approved IOM/UKVI diagnostic clinic for select nationalities.
UK	Financial & Visa	ATAS Certificate (Academic Tech Approval)	Program Specific	Mandatory security clearance for sensitive STEM / postgraduate research subjects.
UK	Financial & Visa	IHS & Visa Application Payment Receipts	Required	Proof of payment for £776/year Immigration Health Surcharge + £490 visa fee.
Canada	University Application	Valid Passport	Required	Passport valid for the entire proposed duration of study in Canada.
Canada	University Application	Academic Marksheets & Degree Certificates	Required	10th, 12th, and all university semester transcripts.
Canada	University Application	Statement of Purpose (Study Plan)	Required	Comprehensive SOP explaining program choice, ties to home country, and career plans.
Canada	University Application	Letters of Recommendation (LOR)	Usually Required	2 academic or professional reference letters.
Canada	University Application	Language Proficiency Report (IELTS / PTE)	Required	IELTS Academic (min 6.0 in each band) or approved PTE Academic.
Canada	University Application	Resume / Work Experience Letters	Program Specific	Experience letters and payslips for candidates with post-graduation employment gap.
